"No.","Time","Source","Destination","Protocol","Length","Info"
"66","1.666408","192.168.100.111","54.64.177.245","TLSv1.2","583","Client Hello"
"67","1.739548","54.64.177.245","192.168.100.111","TLSv1.2","1434","Server Hello"
"68","1.740004","54.64.177.245","192.168.100.111","TCP","1434","[TCP segment of a reassembled PDU]"
"69","1.740079","192.168.100.111","54.64.177.245","TCP","66","62630  >  443 [ACK] Seq=518 Ack=2737 Win=129696 Len=0 TSval=128616939 TSecr=776176988"
"70","1.740442","54.64.177.245","192.168.100.111","TCP","1434","[TCP segment of a reassembled PDU]"
"71","1.740447","54.64.177.245","192.168.100.111","TLSv1.2","731","Certificate, Server Key Exchange, Server Hello Done"
"72","1.740538","192.168.100.111","54.64.177.245","TCP","66","62630  >  443 [ACK] Seq=518 Ack=4770 Win=129024 Len=0 TSval=128616939 TSecr=776176988"
"73","1.741555","192.168.100.111","54.64.177.245","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"74","1.795048","54.64.177.245","192.168.100.111","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"75","1.795127","192.168.100.111","54.64.177.245","TCP","66","62630  >  443 [ACK] Seq=644 Ack=5028 Win=130784 Len=0 TSval=128616994 TSecr=776177002"
"76","1.799505","192.168.100.111","54.64.177.245","TCP","1434","[TCP segment of a reassembled PDU]"
"77","1.799506","192.168.100.111","54.64.177.245","TLSv1.2","382","Application Data"
"78","1.854933","54.64.177.245","192.168.100.111","TCP","66","443  >  62630 [ACK] Seq=5028 Ack=2328 Win=33408 Len=0 TSval=776177017 TSecr=128616998"
"79","1.863898","54.64.177.245","192.168.100.111","TLSv1.2","569","Application Data"
"80","1.864044","54.64.177.245","192.168.100.111","TLSv1.2","153","Application Data"
"81","1.864050","54.64.177.245","192.168.100.111","TLSv1.2","100","Application Data"
"82","1.864066","192.168.100.111","54.64.177.245","TCP","66","62552  >  443 [ACK] Seq=3380 Ack=14606 Win=4080 Len=0 TSval=128617061 TSecr=776177018"
"83","1.864109","192.168.100.111","54.64.177.245","TCP","66","62552  >  443 [ACK] Seq=3380 Ack=14693 Win=4093 Len=0 TSval=128617061 TSecr=776177018"
"84","1.864109","192.168.100.111","54.64.177.245","TCP","66","62552  >  443 [ACK] Seq=3380 Ack=14727 Win=4092 Len=0 TSval=128617061 TSecr=776177019"
"85","1.903496","54.64.177.245","192.168.100.111","TLSv1.2","627","Application Data"
"86","1.903499","54.64.177.245","192.168.100.111","TLSv1.2","100","Application Data"
"87","1.903553","192.168.100.111","54.64.177.245","TCP","66","62598  >  443 [ACK] Seq=3402 Ack=1186 Win=4078 Len=0 TSval=128617098 TSecr=776177029"
"88","1.903554","192.168.100.111","54.64.177.245","TCP","66","62598  >  443 [ACK] Seq=3402 Ack=1220 Win=4077 Len=0 TSval=128617098 TSecr=776177029"
"89","1.984986","54.64.177.245","192.168.100.111","TLSv1.2","635","Application Data"
"90","1.984991","54.64.177.245","192.168.100.111","TLSv1.2","100","Application Data"
"91","1.985068","192.168.100.111","54.64.177.245","TCP","66","62630  >  443 [ACK] Seq=2328 Ack=5597 Win=130496 Len=0 TSval=128617178 TSecr=776177049"
